奶白小清新少女风两房 近五一 国金市中心 可短租月付 随时看,1500,元/月,2室1厅,40平米,高层(共17层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
出租房也能有家的温馨 黑白风 拎包入住 随时看房芙蓉广场,1350,元/月,1室1厅,40平米,高层(共20层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"独卫一居, 邻地铁, 押一付一"
原木奶油风两室 网红打卡地 五一 解放西 附近 可押一付一,1450,元/月,2室2厅,40平米,中层(共27层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
韭菜园 迎宾路口 吃饭喝酒唱k一条街 高级感两室一厅带衣帽间,1500,元/月,2室1厅,40平米,中层(共32层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
五一 国金 解放西 一室一厅带衣帽间 随时看房 拎包入住,1600,元/月,1室1厅,40平米,中层(共25层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"独卫一居, 邻地铁, 押一付一"
市中心 黑色系 正规一室一厅 带衣帽间 押一付一 拎包入住,1480,元/月,1室1厅,58.0平米,高层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"独卫一居, 邻地铁, 押一付一"
农大 龙湖天街地铁六号线旭日嘉苑精装两房楼下100米就是地铁,1280,元/月,1室1厅,33.0平米,中层(共27层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"独卫一居, 邻地铁, 押一付一"
海岸沿奶油系 芙蓉广场 五一广场 迎宾路口 三房 小姐姐必组,2000,元/月,3室1厅,40平米,中层(共20层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
奶油风两房 迎宾路地铁口 嗦粉街 小姐姐必备 可押一付一,3200,元/月,3室2厅,90平米,高层(共32层),韭菜园嘉苑,芙蓉-五一广场 -韭菜园路256号,"邻地铁, 押一付一, 配套齐全"
现代轻奢风两房 省人民医院 实习生可租 IFS国金中心 月付,1500,元/月,2室1厅,60平米,高层(共7层),湖南省人民医院宿舍,天心-黄兴路步行街 -东茅街,"邻地铁, 押一付一, 配套齐全"
小姐姐刚刚退租，两室一厅，民水民电，小区环境好，房子干净整洁,1500,元/月,2室1厅,41.00平米,共5层,红旗区三片,雨花-梓园路 -梓园路350号,"邻地铁, 押一付一, 精装修"
正规两房出租 火车站朝阳村双地铁配套齐全近五一广场湘雅附二,1680,元/月,2室1厅,42.0平米,中层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 押一付一, 配套齐全"
奶白小清新少女风两房 近五一 国金市中心 可短租月付 随时看,1680,元/月,2室1厅,42.0平米,低层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 押一付一, 配套齐全"
可押一付一 可短租 五一广场 豪华装修 随时看房,1500,元/月,2室1厅,40平米,高层(共21层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
整租|隆平博物馆地铁六号线旭日嘉苑精装修两室楼下300米地铁,1390,元/月,2室1厅,33.6平米,低层(共30层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 精装修, 南北通透"
简约网红黑色系列风两房 近1号线 贺龙 侯家塘 可短租月付,1580,元/月,2室1厅,42平米,低层(共9层),湖南贺龙体育馆小区,天心-天心阁 -劳动西路358号,"邻地铁, 押一付一, 配套齐全"
可月付！全新现代风，家电齐全，万家丽汽车东站旭日嘉苑,1450,元/月,2室2厅,50.0平米,高层(共32层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
奶油风 暖色系 大两房两卫罕见户型 五一广场 芙蓉广场近地铁,1500,元/月,2室1厅,40平米,中层(共15层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
农大 龙湖天街地铁六号线旭日嘉苑精装两房楼下100米就是地铁,1300,元/月,2室1厅,80.0平米,高层(共30层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
市中心 原木风系列 两房一厅拎包入住,1680,元/月,2室1厅,42平米,低层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 押一付一, 配套齐全"
国金 ins系列高奢大俩房 领包入住 可短期 押一付一,2800,元/月,2室1厅,40平米,低层(共30层),鸿盛大厦,芙蓉-定王台 -蔡锷中路139号,"邻地铁, 押一付一, 配套齐全"
地铁6号线湘雅附三，白鸽咀站，省肿瘤，西湖博才，看西湖公园,3500,元/月,3室2厅,97平米,中层(共30层),越秀悦湖台,岳麓-咸嘉湖 -咸嘉湖路566号,"邻地铁, 配套齐全, 精装修"
湘雅二医院 朝阳村 迎宾路口 民水民电 押一付一 可做饭,600,元/月,3室1厅,23平米,中层(共10层),人民新村社区,芙蓉-人民中路 -人民中路357号,"独卫, 独立阳台, 邻地铁"
湘雅二医院 迎宾路口 朝阳村 民水民电 五一广场 火车站,600,元/月,3室1厅,26平米,中层(共10层),人民新村社区,芙蓉-人民中路 -人民中路357号,"独卫, 独立阳台, 邻地铁"
蛋蛋后fd 电梯两房 装修奶白风格 燃气民水民电 能养宠物,1500,元/月,2室1厅,40平米,中层(共30层),鸿富大厦,芙蓉-五一大道 -解放中路276号,"邻地铁, 押一付一, 配套齐全"
窑岭湘雅附二医院，实习必租好房，小姐姐们速度抢,1500,元/月,2室1厅,41.00平米,中层(共7层),红旗区三片,雨花-梓园路 -梓园路350号,"邻地铁, 押一付一, 精装修"
农大龙湖天街地铁六号线旭日嘉苑精装两房楼下100米就是地铁,2799,元/月,3室1厅,80.0平米,中层(共30层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
农大龙湖天街地铁口 精装两房 楼下100米就是地铁旭日嘉苑,1450,元/月,2室1厅,75.0平米,低层(共27层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 配套齐全, 精装修"
小姐姐喜欢奶油风 省人民医院  芙蓉广场  米粉街 拎包入住,1500,元/月,1室1厅,40平米,高层(共20层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"独卫一居, 邻地铁, 押一付一"
现代风南北通透两室一厅 下楼300米就是地铁口,1280,元/月,2室1厅,79.0平米,高层(共27层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
窑岭地铁口，湘雅附二医院，省湘剧院，湖南省图书馆，汇富中心，,1400,元/月,2室2厅,45平米,低层(共6层),省湘剧院宿舍,芙蓉-窑岭 -人民中路259号,"邻地铁, 配套齐全, 精装修"
马厂1号线地铁站 北城三角洲 广福园  精装修 民水民电,600,元/月,3室2厅,15平米,中层(共10层),广福园,开福-马厂 -落刀嘴118号,"独卫, 独立阳台, 邻地铁"
茶子山地铁站卓越中寰居家三房，凯德壹中心商场，配套成熟,4500,元/月,3室2厅,110.89平米,中层(共40层),卓越中寰,"岳麓-观沙岭 -含光路,近观沙路","邻地铁, 配套齐全, 精装修"
农大 龙湖天街地铁六号线旭日嘉苑精装两房楼下100米就是地铁,1800,元/月,2室1厅,33.0平米,中层(共30层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
市中心高奢风两房一厅 近国金 五一 可押一付一 随时看房,1500,元/月,2室1厅,40平米,中层(共8层),中南大学湘雅二医院劳动村大院,芙蓉-五一广场 -黄泥坑巷,"邻地铁, 押一付一, 配套齐全"
房子是租来的 但生活是自己给的 芙蓉广场 小姐姐爱的网红系列,1680,元/月,2室1厅,70.81平米,高层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 押一付一, 配套齐全"
简约ins风两房 实地拍摄假一罚十 近贺龙侯家塘 可短租月付,1500,元/月,2室1厅,60平米,中层(共9层),第六工程公司宿舍,天心-侯家塘 -劳动西路296号,"邻地铁, 押一付一, 配套齐全"
简约奶油风两房 近贺龙体育馆 侯家塘 实地拍摄 可短租月付,1500,元/月,2室1厅,53平米,低层(共9层),湖南贺龙体育馆小区,天心-天心阁 -劳动西路358号,"邻地铁, 押一付一, 精装修"
月付瑞丰汇可短租近涧塘地铁口时代广场人人乐工商大学岳麓西大道,800,元/月,2室2厅,30平米,中层(共15层),瑞丰汇,岳麓-湖南商学院 -玉兰路13号,"邻地铁, 押一付一, 配套齐全"
宝庆金都 南北通透 20平 家电齐全,600,元/月,3室2厅,20平米,中层(共7层),宝庆金都,芙蓉-杨家山 -东二环一段927号,"独卫, 独立阳台, 邻地铁"
可月付 市中心轻奢风两房 随时看房,1450,元/月,2室1厅,45平米,低层(共30层),中南大学湘雅二医院劳动村大院,芙蓉-五一广场 -黄泥坑巷,"邻地铁, 押一付一, 配套齐全"
万家丽马王堆地铁口精装两房诚心出租 居家好房 拎包入住随时看,1499,元/月,2室2厅,63.0平米,高层(共7层),东方新城,芙蓉-万家丽 -万家丽中路一段112号,"邻地铁, 押一付一, 配套齐全"
无中介可月付！金色山庄六沟垅万达绿地中央茶子山银盆岭观沙岭,500,元/月,3室1厅,15平米,中层(共25层),金色山庄,岳麓-银盆岭 -银双路66号,"独卫, 独立阳台, 邻地铁"
高级定制 大两室 五一 解放西附件 可押一付一 随时 看房,1450,元/月,2室1厅,40平米,中层(共30层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
市中心 原木风系列 两房一厅拎包入住,1600,元/月,2室1厅,60.0平米,中层(共31层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 配套齐全, 精装修"
简约现代风 近市中心五一 MMC专属 可月付 赶紧入手,1500,元/月,2室1厅,42平米,低层(共32层),鸿富大厦,芙蓉-五一大道 -解放中路276号,"邻地铁, 押一付一, 配套齐全"
暖色系 奶油风 直播 mmc mmk专属定制 近五一广场国金,1500,元/月,2室1厅,40平米,高层(共15层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
网红轻奢风正规一房 近贺龙 坡子街 网红打卡地 可短租月付,1350,元/月,1室1厅,45平米,中层(共9层),市体育局宿舍,天心-侯家塘 -劳动西路293号,"独卫一居, 邻地铁, 押一付一"
梅溪湖大平层近地铁站金茂双子塔览秀城创新中心天祥水晶湾拎包住,13888,元/月,4室2厅,120平米,高层(共50层),梅溪湖金茂湾(三期),岳麓-梅溪湖南 -环湖路,"邻地铁, 押一付一"
第壹湾 精装一室  朝南 带阳台 直接拎包入住,1400,元/月,1室1厅,47.09平米,中层(共24层),第一湾,开福-四方坪 -车站北路919号,"独卫一居, 邻地铁, 配套齐全"
出租房也能有家的温馨 现代化装修 拎包入住 随时看房,1680,元/月,2室1厅,40平米,低层(共32层),凯通国际城,芙蓉-火车站 -朝阳路78号,"邻地铁, 押一付一, 配套齐全"
市中心暖色调 奶油风 能玩捉迷藏的大两房两卫 亲自监工出房,1600,元/月,2室1厅,40平米,中层(共15层),富利大楼,芙蓉-五一广场 -韭菜园路97号,"邻地铁, 押一付一, 配套齐全"
可月付！全新精装二房，现代装修，家电齐全，万家丽农大地铁口,1688,元/月,2室2厅,50.0平米,低层(共32层),旭日嘉苑,芙蓉-张公岭 -亚大路80号,"邻地铁, 押一付一, 配套齐全"
现代简约风两房 省人民医院 IFS国金 正市中心 实习生可租,3000,元/月,2室1厅,70平米,中层(共22层),鸿盛大厦,芙蓉-定王台 -蔡锷中路139号,"邻地铁, 押一付一, 配套齐全"
暖色系简约风 靠国金 黄兴广场 实地拍摄假一罚十,1600,元/月,2室1厅,45平米,低层(共20层),信丰民居,天心-坡子街 -洪家井街76号,"邻地铁, 押一付一, 配套齐全"
这个客厅太治愈了旭辉雨花郡全屋带地暖押一付一无中介废近地铁口,3500,元/月,3室2厅,116平米,高层(共33层),旭辉雨花郡,雨花-树木岭 -航空路,"邻地铁, 押一付一, 配套齐全"
山不见我，我自去看山,5800,元/月,3室2厅,160平米,高层(共45层),潮宗御苑,开福-万达广场 -营盘西路6号,"邻地铁, 押一付一, 配套齐全"
