可短租月付！主卧独卫大壁柜软件园app广场红枫金座新发展,700,元/月,3室1厅,20平米,低层(共32层),清江山水,洪山-光谷软件园 -软件园中路10号,"合租, 朝南, 有电梯"
实图实拍现房一梯一户 拎包入住 近光谷软件园 国际企业中心,4000,元/月,4室2厅,99平米,中层(共60层),保利时代(北区),洪山-关山 -关山大道332号,"整租, 朝南, 有电梯"
江城雅居~精装单间~新发展中心北辰光谷里光谷软件园创意大厦,950,元/月,4室1厅,25平米,低层(共33层),江城雅居,洪山-关山 -关山大道,"合租, 朝南, 有电梯"
实图实价 张家湾五号线  楼下武商 生活便利  一室一卫,900,元/月,3室1厅,20平米,低层(共33层)                                                            7日内实拍验真,楚天雅苑,洪山-新南湖 -张家湾路18号,"独立单间, 合租, 朝南, 有电梯, 5号线"
短租 月付 金鑫国际 光谷大道地铁口 泷悦国际大厦 蓝晶国际,600,元/月,1室1厅,20平米,中层(共32层),泷悦华府,洪山-关山 -关山大道,"独立单间, 合租, 朝南, 有电梯, 2号线"
可短租月付！锦绣龙城单间！中南财经政法大学天颐科技园东湖网谷,600,元/月,3室2厅,20平米,低层(共11层)                                                            7日内实拍验真,锦绣龙城(E区),洪山-光谷软件园 -龙城路1号,"独立单间, 合租, 南北, 有电梯"
保利广场 软件园 APP广场 光谷天地 总部国际 K11,4000,元/月,2室1厅,60平米,高层(共33层),保利时代(北区),洪山-关山 -关山大道332号,"整租, 朝南, 有电梯"
光谷精装两房！领包入住！光谷广场！保利国际！软件园！中南民大,1600,元/月,2室1厅,80平米,高层(共33层)                                                            7日内实拍验真,光谷青年城(一期),洪山-关山 -新竹路5号,"整租, 朝南, 有电梯, 2号线"
20w精装 全屋定制 房D自住 随时可看 车接车送 价格乱砍,2000,元/月,3室2厅,89.8平米,高层(共33层),华润紫云府(一期),洪山-白沙洲 -白沙洲路51号,"整租, 朝南, 有电梯, 5号线"
8号线汪家墩 徐东大街群星城 万象汇 万利广场 精装修两房,1800,元/月,2室1厅,88.8平米,中层(共42层),保利城一期,洪山-铁机路 -团结大道1049号,"整租, 朝南, 有电梯, 4/5/8号线"
业主急租  毕业 金融港 软件园 万科红郡 精装两室,2600,元/月,2室2厅,70平米,中层(共33层),万科红郡,洪山-光谷软件园 -大学园路1号,"整租, 朝南, 有电梯, 2号线"
明珠花园 10平 2室1厅1卫 精装修,600,元/月,2室1厅,10平米,高层(共7层),明珠花园,洪山-关山 -雄楚大道1021号,"合租, 朝南, 2号线"
地铁5号线 龙湖天街 万科广场  白沙未来城 工商学院,2000,元/月,3室2厅,105平米,高层(共34层),中建壹品宏泰阅江府,洪山-白沙洲 -白沙四路38号,"整租, 朝南, 有电梯"
地铁5号线-张家湾洪山万科广场洪山区胜利公园一诺优宝幼儿园,1800,元/月,2室1厅,90平米,高层(共33层),万象公裕A区,洪山-白沙洲 -夹套河路20号,"整租, 朝南, 有电梯"
吴彦祖带看 陪读好房 地铁口 洪山万科 龙湖天街 保利上城荟,1500,元/月,2室2厅,96平米,高层(共31层),南国都市(二期),洪山-白沙洲 -白沙洲大道62号,"整租, 朝南, 有电梯, 5号线"
无中介 可月付 徐东大街 群星城 销品茂 国际城 汪家墩,600,元/月,3室1厅,20平米,中层(共7层),鹏程花园,洪山-铁机路 -徐东大街57号,"合租, 朝南, 4/8号线"
免租七天~光谷步行街保利时代广场~楼下就是菜市场~交通便利,1300,元/月,2室1厅,74.2平米,高层(共33层),光谷青年城(一期),洪山-关山 -新竹路5号,"整租, 朝南, 有电梯, 2号线"
光谷大道地铁站泷悦国际琨瑜国际K11保利广场三医院可短租月付,600,元/月,3室1厅,20平米,中层(共11层),保利花园(东区),洪山-关山 -光谷大道219号,"合租, 朝南, 有电梯, 2号线"
居然之家光谷APP 光谷软件园 光谷天地 保利广场 K11,1600,元/月,2室2厅,97.7平米,高层(共30层)                                                            7日内实拍验真,中建大公馆,洪山-光谷软件园 -关山大道,"整租, 朝南, 有电梯"
泛悦城 华科大地铁口 琨御国际 创业街 未来之光 时代广场,4000,元/月,2室2厅,98.7平米,高层(共64层),泛悦城,洪山-关山 -关山大道,"整租, 朝南, 有电梯, 2号线"
光谷大道地铁口~华科大~光谷8号~未来之光~巴黎豪庭~创业街,1200,元/月,1室1厅,40.1平米,低层(共33层),光谷8号(商住楼),洪山-关山 -光谷大道特1号,"整租, 朝南, 有电梯, 2号线"
主卧阳台光谷大道地铁口 琨瑜府未来之光光谷8号创业街 华科大,600,元/月,3室1厅,18平米,低层(共7层),卧龙剑桥春天(西区),洪山-光谷广场 -珞瑜路888号,"合租, 朝南, 2号线"
软件园 曙光星城 居然之家 app广场 可短租 月付,1100,元/月,1室1厅,60平米,低层(共33层),清江山水九程,洪山-光谷软件园 -南湖大道,"整租, 朝南, 有电梯"
