date,hy,kpj,zgj,zdj,spj,zd,zdf,jqpjj,cjl,url
2008-08-11,Au99.99,193.0,193.00,189.80,189.88,-1.62,-0.84%,190.65,"1,512",https://www.sge.com.cn/sjzx/mrhqsj/509676
2008-08-12,Au99.99,190.28,190.28,177.90,180.00,-9.88,-5.19%,179.53,"2,843.20",https://www.sge.com.cn/sjzx/mrhqsj/509677
2008-08-13,Au99.99,182.0,182.90,179.00,182.84,2.84,1.56%,180.61,"1,757.80",https://www.sge.com.cn/sjzx/mrhqsj/509678
2008-08-14,Au99.99,182.0,184.50,180.00,184.26,1.42,0.78%,183.92,"2,322.80",https://www.sge.com.cn/sjzx/mrhqsj/509679
2008-08-15,Au99.99,182.0,182.30,174.90,175.50,-8.76,-4.81%,176.58,"3,616.20",https://www.sge.com.cn/sjzx/mrhqsj/509680
2008-08-18,Au99.99,178.0,178.60,176.60,178.06,2.56,1.44%,177.45,"1,389.40",https://www.sge.com.cn/sjzx/mrhqsj/509681
2008-08-19,Au99.99,178.06,178.06,174.00,174.00,-4.06,-2.28%,174.95,"1,783.80",https://www.sge.com.cn/sjzx/mrhqsj/509682
2008-08-21,Au99.99,179.25,181.18,177.00,180.94,0.95,0.53%,180.44,"1,762.20",https://www.sge.com.cn/sjzx/mrhqsj/509683
2008-08-22,Au99.99,183.22,184.99,182.40,184.04,3.1,1.69%,184.25,"1,714.80",https://www.sge.com.cn/sjzx/mrhqsj/509684
2008-08-25,Au99.99,182.0,182.00,179.60,181.19,-2.85,-1.57%,181.11,"1,123",https://www.sge.com.cn/sjzx/mrhqsj/509685
2008-08-26,Au99.99,181.03,182.28,180.60,180.88,-0.31,-0.17%,181.00,"1,378.20",https://www.sge.com.cn/sjzx/mrhqsj/509686
2008-08-27,Au99.99,180.0,183.20,180.00,182.58,1.7,0.94%,182.77,"1,279",https://www.sge.com.cn/sjzx/mrhqsj/509687
2008-08-28,Au99.99,183.4,183.80,181.75,183.78,1.2,0.65%,183.24,872.4,https://www.sge.com.cn/sjzx/mrhqsj/509688
2008-08-29,Au99.99,185.0,185.20,182.28,183.98,0.2,0.11%,184.09,"1,259.60",https://www.sge.com.cn/sjzx/mrhqsj/509689
2008-09-01,Au99.99,183.98,183.98,182.50,183.80,-0.18,-0.10%,183.46,"1,588.40",https://www.sge.com.cn/sjzx/mrhqsj/509690
2008-09-02,Au99.99,182.60,182.60,177.70,178.28,-5.52,-3.00%,179.57,"1,266.0",https://www.sge.com.cn/sjzx/mrhqsj/509691
2008-09-03,Au99.99,175.03,179.00,175.03,176.30,-1.98,-1.10%,177.24,"1,517.8",https://www.sge.com.cn/sjzx/mrhqsj/509692
2008-09-04,Au99.99,177.19,178.78,176.38,178.71,2.41,1.40%,177.86,"3,026.8",https://www.sge.com.cn/sjzx/mrhqsj/509693
2008-09-05,Au99.99,179.00,179.00,175.30,176.90,-1.81,-1.00%,176.87,"2,405.6",https://www.sge.com.cn/sjzx/mrhqsj/509694
2008-09-08,Au99.99,178.70,180.60,178.70,179.89,2.99,1.70%,179.72,"1,332.6",https://www.sge.com.cn/sjzx/mrhqsj/509695
2008-09-09,Au99.99,179.00,179.50,176.01,176.59,-3.30,-1.80%,176.59,"2,995.0",https://www.sge.com.cn/sjzx/mrhqsj/509696
2008-09-10,Au99.99,175.00,175.20,169.60,171.68,-4.91,-0.028,171.30,"3,409",https://www.sge.com.cn/sjzx/mrhqsj/509697
2008-09-11,Au99.99,172.30,172.95,166.69,167.36,-4.32,-0.025,167.81,"3,001.20",https://www.sge.com.cn/sjzx/mrhqsj/509698
2008-09-12,Au99.99,168.00,168.00,163.16,167.87,0.51,0.003,166.96,"1,705.20",https://www.sge.com.cn/sjzx/mrhqsj/509699
