"date","hy","kpj","zgj","zdj","spj","zd","zdf","jqpjj","cjl","url"
"2008-08-11","Au9995",191.0,"191.00","189.80","189.89",-1.84,"-0.96%","190.20","2,374","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","Au9999",193.0,"193.00","189.80","189.88",-1.62,"-0.84%","190.65","1,512","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","Au100g",193.98,"193.98","190.40","190.86",-1.9,"-0.98%","191.44","77.40","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","AuT+D",190.5,"190.80","189.61","189.77",-1.7,"-0.89%","190.26","9,412","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","Au(T+N1)",190.31,"190.42","189.87","190.00",-2.03,"-1.07%","190.15","720","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","Pt9995",356.5,"359.00","356.50","358.18",-0.96,"-0.27%","357.03","78","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-11","Ag(T+D)","","3,670.00","3,550.00","3,553.00",-156.0,"nan%","3,595.00","12,924","https://www.sge.com.cn/sjzx/mrhqsj/509676"
"2008-08-12","Au9999",190.28,"190.28","177.90","180.00",-9.88,"-5.19%","179.53","2,843.20","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Au(T+N1)",189.46,"189.46","177.02","177.20",-12.8,"-6.76%","177.27","320","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Au(T+N2)",179.5,"179.50","179.50","179.50",-12.25,"-6.82%","179.50","100","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Pt9995",353.0,"353.00","338.00","339.00",-19.18,"-5.43%","340.25","344","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Au100g",190.8,"191.40","179.00","182.19",-8.67,"-4.54%","183.26","280.60","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Ag(T+D)","","3,560.00","3,343.00","3,343.00",-210.0,"nan%","3,449.00","21,236","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","AuT+D",188.35,"189.50","176.94","178.99",-10.78,"-5.72%","179.79","36,958","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-12","Au9995",177.15,"179.48","177.15","179.42",-10.47,"-5.91%","178.16","2,692","https://www.sge.com.cn/sjzx/mrhqsj/509677"
"2008-08-13","Pt9995",342.0,"344.50","342.00","344.00",5.0,"1.46%","344.07","154","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Au100g",184.98,"184.98","181.50","183.00",0.81,"0.44%","182.38","82.6","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Au9999",182.0,"182.90","179.00","182.84",2.84,"1.56%","180.61","1,757.80","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Au9995",179.0,"182.50","178.85","182.42",3.0,"1.68%","180.50","2,914","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Au(T+N1)",181.21,"181.51","181.19","181.42",4.22,"2.33%","181.36","264","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Au(T+N2)",180.6,"180.60","180.20","180.40",0.9,"0.5%","180.40","800","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","AuT+D",181.6,"182.80","178.30","182.53",3.54,"1.95%","180.43","13,300","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-13","Ag(T+D)","","3,558.00","3,310.00","3,479.00",136.0,"nan%","3,397.00","23,932","https://www.sge.com.cn/sjzx/mrhqsj/509678"
"2008-08-14","Au(T+N1)",182.61,"183.72","182.61","183.63",2.21,"1.21%","183.33","818","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","AuT+D",181.59,"183.97","179.85","183.22",0.69,"0.38%","182.44","11,830","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Ag(T+D)","","3,492.00","3,371.00","3,470.00",-9.0,"nan%","3,436.00","18,664","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Au9999",182.0,"184.50","180.00","184.26",1.42,"0.78%","183.92","2,322.80","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Au(T+N2)",183.2,"183.30","183.20","183.25",2.85,"1.56%","183.25","400","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Au9995",183.0,"184.15","182.80","183.70",1.28,"0.7%","183.69","2,656","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Au100g",180.6,"185.80","180.60","184.99",1.99,"1.1%","184.21","70.2","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-14","Pt9995",338.6,"350.00","338.60","350.00",6.0,"1.77%","347.48","152","https://www.sge.com.cn/sjzx/mrhqsj/509679"
"2008-08-15","Ag(T+D)","","3,425.00","3,195.00","3,195.00",-275.0,"nan%","3,287.00","32,716","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Pt9995",343.68,"343.68","329.80","330.04",-19.96,"-5.81%","332.25","398","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Au(T+N2)",174.7,"174.75","174.70","174.72",-8.53,"-4.88%","174.72","400","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","AuT+D",181.21,"181.50","174.05","174.56",-8.66,"-4.78%","177.39","23,822","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Au9995",181.9,"181.90","174.50","174.87",-8.83,"-4.85%","175.42","4,392","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Au(T+N1)",176.36,"176.36","175.00","175.05",-8.58,"-4.87%","175.86","624","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Au9999",182.0,"182.30","174.90","175.50",-8.76,"-4.81%","176.58","3,616.20","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-15","Au100g",183.5,"183.50","176.00","176.00",-8.99,"-4.9%","179.07","214","https://www.sge.com.cn/sjzx/mrhqsj/509680"
"2008-08-18","Au(T+N1)",175.79,"178.06","175.79","178.01",2.96,"1.68%","176.45","864","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Pt9995",326.0,"329.00","326.00","329.00",-1.04,"-0.32%","327.81","86","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Ag(T+D)","","3,236.00","3,135.00","3,212.00",17.0,"nan%","3,208.00","9,206","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Au(T+N2)",176.8,"176.80","176.80","176.80",2.08,"1.18%","176.80","400","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Au100g",179.0,"179.00","177.60","178.55",2.55,"1.42%","178.41","39.20","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Au9999",178.0,"178.60","176.60","178.06",2.56,"1.44%","177.45","1,389.40","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","Au9995",176.0,"178.10","175.99","177.59",2.72,"1.55%","176.96","2,100","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-18","AuT+D",175.51,"178.10","175.51","177.30",2.74,"1.56%","176.84","6,510","https://www.sge.com.cn/sjzx/mrhqsj/509681"
"2008-08-19","Au9999",178.06,"178.06","174.00","174.00",-4.06,"-2.28%","174.95","1,783.80","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Ag(T+D)","","3,195.00","2,983.00","3,013.00",-199.0,"nan%","3,103.00","28,086","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Au9995",176.1,"176.10","173.45","174.14",-3.45,"-1.96%","174.57","1,760","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Au100g",178.55,"179.00","175.00","175.49",-3.06,"-1.71%","176.19","76","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Au(T+N2)",175.0,"175.00","175.00","175.00",-1.8,"-1.03%","175.00","400","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","AuT+D",175.0,"177.16","173.20","173.91",-3.39,"-1.94%","174.90","13,034","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Pt9995",319.0,"321.00","303.00","303.00",-26.0,"-8.15%","306.13","350","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-19","Au(T+N1)",175.21,"175.21","175.21","175.21",-2.8,"-1.6%","175.21","2","https://www.sge.com.cn/sjzx/mrhqsj/509682"
"2008-08-21","Au9999",179.25,"181.18","177.00","180.94",0.95,"0.53%","180.44","1,762.20","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Au(T+D)",179.0,"180.80","176.10","180.60",1.02,"0.57%","179.51","17,798","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Au9995",180.0,"180.79","179.90","180.71",1.18,"0.66%","180.24","1,732","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Au100g",180.2,"182.00","178.50","181.90",1.9,"1.05%","180.92","37.2","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Au(T+N2)",180.3,"180.50","180.30","180.40",0.35,"0.19%","180.40","400","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Pt9995",316.5,"321.00","315.80","316.73",2.73,"0.86%","316.69","114","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Au(T+N1)",180.01,"180.75","179.93","180.69",0.88,"0.49%","180.11","836","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-21","Ag(T+D)",3150.0,"3220.00","3081.00","3188.00",19.0,"0.6%","3160.00","30,538","https://www.sge.com.cn/sjzx/mrhqsj/509683"
"2008-08-22","Au9995",183.7,"184.08","183.35","183.65",2.94,"1.6%","183.76","1,992","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Au100g",183.0,"185.00","183.00","184.95",3.05,"1.67%","184.59","71.2","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Au9999",183.22,"184.99","182.40","184.04",3.1,"1.69%","184.25","1,714.80","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Au(T+N2)",183.9,"183.90","183.30","183.60",3.2,"1.74%","183.60","1,020","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Pt9995",327.5,"341.00","327.50","340.62",23.89,"7.29%","337.95","168","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Ag(T+D)","","3,250.00","3,200.00","3,237.00",49.0,"nan%","3,232.00","25,028","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","Au(T+N1)",183.53,"183.97","183.33","183.80",3.11,"1.69%","183.62","796","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-22","AuT+D",183.0,"184.38","182.40","183.58",2.98,"1.63%","183.42","12,744","https://www.sge.com.cn/sjzx/mrhqsj/509684"
"2008-08-25","Au9995",179.9,"181.00","179.90","180.99",-2.66,"-1.48%","180.73","2,392","https://www.sge.com.cn/sjzx/mrhqsj/509685"
