date,hy,kpj,zgj,zdj,spj,zd,jqpjj,cjl,cjje,url
2023-12-18,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au99.95,472.90,473.00,472.80,472.92,-1.42,-0.30%,472.92,12.00,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au99.99,480.00,480.00,470.10,473.82,-0.18,-0.04%,472.25,"30,700.44",https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au100g,474.40,474.95,473.99,474.41,1.87,0.40%,474.33,14.40,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,iAu99.99,463.73,464.42,463.73,464.20,-2.02,-0.43%,464.08,340.02,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au(T+D),474.61,475.10,470.50,473.30,-0.70,-0.15%,472.78,"19,928.00",https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au(T+N1),-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Au(T+N2),-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,mAu(T+D),474.95,475.29,470.50,472.85,-1.28,-0.27%,473.08,"2,787.80",https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Pt99.95,223.53,225.08,223.53,224.72,-1.85,-0.82%,224.72,592.00,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,Ag(T+D),"6,010","6,025","5,950","5,997",-11,-0.18%,"5,980","361,720.00",https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,NYAuTN06,473.60,473.60,467.00,471.20,-1.60,-0.34%,470.35,49.20,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,NYAuTN12,-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-18,PGC30g,478.95,478.95,478.95,478.95,-1.05,-0.22%,478.95,0.06,https://www.sge.com.cn/sjzx/mrhqsj/10005700
2023-12-19,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au99.95,474.00,474.20,474.00,474.17,1.25,0.26%,474.17,14.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au99.99,473.82,474.70,471.80,473.99,0.17,0.04%,474.17,"12,950.20",https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au100g,475.90,475.90,475.00,475.57,1.16,0.24%,475.50,4.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,iAu99.99,466.23,466.44,466.00,466.30,2.10,0.45%,466.25,490.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au(T+D),473.55,474.30,472.50,473.89,1.11,0.23%,473.79,"9,078.00",https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au(T+N1),-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Au(T+N2),-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,mAu(T+D),473.03,474.50,472.50,474.11,1.03,0.22%,474.07,"3,569.00",https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Pt99.95,224.85,224.85,224.85,224.85,0.13,0.06%,224.85,2.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,Ag(T+D),"5,997","5,997","5,965","5,990",10,0.17%,"5,981","328,046.00",https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,NYAuTN06,471.90,473.05,471.80,472.15,1.80,0.38%,472.10,22.20,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,NYAuTN12,-,-,-,-,,,-,0.00,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-19,PGC30g,477.99,477.99,477.99,477.99,-0.96,-0.20%,477.99,0.06,https://www.sge.com.cn/sjzx/mrhqsj/10005704
2023-12-20,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/10005712
2023-12-20,Au99.95,475.65,475.80,475.65,475.75,1.58,0.33%,475.75,6.00,https://www.sge.com.cn/sjzx/mrhqsj/10005712
2023-12-20,Au99.99,478.00,478.00,473.00,476.60,2.61,0.55%,475.83,"24,333.84",https://www.sge.com.cn/sjzx/mrhqsj/10005712
2023-12-20,Au100g,475.00,477.90,475.00,477.85,2.28,0.48%,477.47,12.80,https://www.sge.com.cn/sjzx/mrhqsj/10005712
2023-12-20,iAu99.99,467.95,469.00,467.90,467.96,1.66,0.36%,467.94,386.20,https://www.sge.com.cn/sjzx/mrhqsj/10005712
