date,hy,kpj,zgj,zdj,spj,zd,jqpjj,cjl,cjje,url
2021-11-15,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au99.95,381.50,381.50,380.50,380.65,-1.23,-0.32%,380.75,330.00,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au99.99,380.00,383.50,380.00,380.68,-1.47,-0.38%,381.20,"14,433.06",https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au100g,380.66,382.80,379.55,380.31,-1.56,-0.41%,380.88,27.80,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,iAu99.99,380.20,381.50,380.20,381.00,-1.07,-0.28%,380.95,2.22,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au(T+D),380.50,383.26,379.61,380.76,-1.73,-0.45%,381.17,"33,550.00",https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au(T+N1),384.00,386.80,383.60,385.30,-1.45,-0.37%,385.30,6.60,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Au(T+N2),382.20,383.35,381.05,382.20,0.00,0.00%,382.20,4.60,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,mAu(T+D),380.95,383.47,379.50,380.94,-1.54,-0.40%,381.40,"7,101.80",https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Pt99.95,230.65,230.65,228.50,229.02,-3.31,-1.42%,228.92,214.00,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,Ag(T+D),"5,128","5,208","5,088","5,117",-43,-0.83%,"5,132","4,130,762.00",https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,NYAuTN06,384.75,388.00,384.60,386.80,-0.20,-0.05%,386.70,247.40,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2021-11-15,PGC30g,386.50,388.50,368.88,383.32,-5.68,-1.46%,383.32,0.36,https://www.sge.com.cn/sjzx/mrhqsj/10002128
2014-08-18,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Au9995,257.10,257.76,257.00,257.40,-2.21,-0.0085,257.4,"4,546",https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Au9999,258.41,259.00,257.00,257.50,-2.64,-0.0101,257.58,"13,753.88",https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Au100g,257.50,258.99,257.00,257.96,-2.27,-0.0087,257.91,31.4,https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Au(T+D),257.00,259.50,256.50,257.44,-2.27,-0.0087,257.35,"41,130",https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,mAu(T+D),257.50,259.40,256.90,257.57,-2.33,-0.009,257.71,"4,005",https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Pt9995,300.00,302.75,300.00,302.52,-2.10,-0.0069,302.41,240,https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Ag99.99,4215,4215,4210,4213,-72,-0.0168,4213,300,https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-18,Ag(T+D),4210,4225,4180,4186,-62,-0.0146,4201,"2,117,984",https://www.sge.com.cn/sjzx/mrhqsj/511136
2014-08-19,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Au9995,257.50,257.50,256.70,256.85,-0.55,-0.0021,256.93,"5,066",https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Au9999,257.50,257.75,257.00,257.00,-0.5,-0.0019,257.21,"16,398.12",https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Au100g,257.32,258.50,257.32,257.39,-0.57,-0.0022,257.67,33.8,https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Au(T+D),256.85,257.50,256.66,256.89,-0.46,-0.0018,256.93,"23,018",https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,mAu(T+D),257.40,257.53,257.01,257.12,-0.59,-0.0023,257.21,"1,564",https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Pt9995,301.00,301.50,300.50,300.61,-1.91,-0.0063,301.05,416,https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-19,Ag(T+D),4188,4194,4183,4187,-14,-0.0033,4188,"487,872",https://www.sge.com.cn/sjzx/mrhqsj/511137
2014-08-20,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Au9995,256.80,256.80,256.30,256.43,-0.42,-0.0016,256.49,"5,708",https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Au9999,257.20,257.20,256.40,256.40,-0.6,-0.0023,256.69,"14,460",https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Au100g,256.85,258.65,256.70,257.19,-0.2,-0.0008,257.04,38.2,https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Au(T+D),256.80,257.00,256.08,256.33,-0.6,-0.0023,256.46,"28,222",https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,mAu(T+D),257.10,257.20,256.41,256.54,-0.67,-0.0026,256.67,"1,776.40",https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Pt9995,300.50,300.50,299.00,299.00,-1.61,-0.0054,299.11,316,https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-20,Ag(T+D),4185,4187,4122,4139,-49,-0.0117,4141,"1,922,146",https://www.sge.com.cn/sjzx/mrhqsj/511138
2014-08-21,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/511139
